"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"танцы стоимость";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"танец живота стоимость";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"стоимость занятий танцами";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"постановка танца стоимость";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"лагерь про танцы +в сочи стоимость";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"танцы +в сочи стоимость";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"стоимость лагеря про танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"про танцы стоимость";"YandexWordstatLeftColumn";"12.01.2017 21:55:17";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"танцы цены";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"цена постановки танца";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"постановка свадебного танца цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"свадебный танец цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"шест +для танцев цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"приставка +для танцев перед телевизором цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"наколенники +для танцев спортмастер цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"лагерь про танцы цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"цена билета +на танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"танец живота цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"про танцы цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"наколенники +для танцев цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"восточные танцы цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"шампанское белый танец цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"про танцы лагерь сочи цена";"YandexWordstatLeftColumn";"12.01.2017 21:55:21";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
